Year,State,County,Uninsured #,Uninsured %,Uninsured 95% CI - Low, Uninsured 95% CI - High, Uninsured Z-Score,Adults Uninsured # ,Adults Uninsured % ,Adults Uninsured 95% CI - Low,Adults Uninsured 95% CI - High,Children Uninsured #,Children Uninsured %,Children Uninsured 95% CI - Low,Children Uninsured 95% CI - High,Unemployed # ,Labor Force,Unemployed %,Unemployed Z-Score,Severe Housing Problems %,Severe housing problems 95% CI - Low,Severe housing problems 95% CI - High,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Severe housing problems Z-Score,Homeowners #,Homeowners % ,Homeowners 95% CI - Low,Homeowners 95% CI - High,Households with Severe Cost Burden #,Severe Housing Cost Burden %,Severe housing cost burden 95% CI - Low,Severe housing cost burden 95% CI - High
2022,California,Alameda,72422,5,5,6,-1.73,63889,6,5,6,9745,3,2,3,71396,813807,8.8,-0.38,23,23,24,17,8,1,0.36,307281,54,53,54,95623,17,17,18
2022,California,Alpine,72,9,7,10,0.07,61,10,8,12,12,6,4,7,58,517,11.2,0.61,20,9,30,23,4,0,-0.59,321,81,72,90,23,6,0,18
2022,California,Amador,1851,7,6,9,-0.54,1612,9,7,10,259,4,3,5,1317,14424,9.1,-0.23,18,15,21,16,3,1,-0.95,11396,77,74,80,2332,16,13,19
2022,California,Butte,13710,8,7,9,-0.35,12590,10,8,11,1285,3,2,4,8509,92604,9.2,-0.21,23,21,24,19,3,1,0.14,49887,59,58,61,14808,18,17,20
2022,California,Calaveras,2579,8,7,9,-0.33,2262,9,8,10,348,4,3,6,1619,21207,7.6,-0.84,20,17,23,18,2,1,-0.53,13492,80,77,82,2982,18,15,21
2022,California,Colusa,2195,12,11,14,1.85,1893,15,13,18,330,6,4,7,1675,10499,16,2.52,18,15,22,11,7,1,-0.92,4651,63,59,68,791,11,8,14
2022,California,Contra Costa,62447,6,6,7,-1.04,55219,8,7,9,8310,3,2,4,48020,541256,8.9,-0.34,20,20,21,16,5,1,-0.39,266238,67,66,67,64279,16,16,17
2022,California,Del Norte,1652,8,7,10,-0.06,1447,10,9,12,222,4,3,5,884,9350,9.5,-0.1,20,16,23,16,5,1,-0.56,6706,68,65,72,1490,16,13,19
2022,California,El Dorado,9349,6,5,7,-1.17,8099,7,6,8,1388,3,2,4,7490,90752,8.3,-0.59,18,16,19,15,2,1,-1.1,55193,76,74,77,11219,16,14,17
2022,California,Fresno,82348,10,9,11,0.6,73200,13,12,14,10083,4,3,4,50260,445518,11.3,0.63,27,26,27,19,9,1,1.15,166420,54,53,54,55662,19,18,19
2022,California,Glenn,2905,12,11,14,1.96,2496,16,13,18,445,6,4,8,1113,12568,8.9,-0.35,21,17,25,18,4,1,-0.24,5970,58,54,63,1883,20,15,24
2022,California,Humboldt,10146,10,8,11,0.49,9146,11,10,13,1105,4,3,5,4965,59411,8.4,-0.55,24,23,26,20,4,2,0.61,30761,57,55,58,11231,22,20,23
2022,California,Imperial,14070,10,8,11,0.56,12480,13,11,15,1764,3,2,4,15653,69602,22.5,5.16,27,25,29,18,10,1,1.14,26589,58,56,60,8281,19,16,21
2022,California,Inyo,1234,9,8,10,0.27,1057,11,9,12,193,5,3,7,647,8305,7.8,-0.78,18,15,21,15,2,2,-1.07,5170,65,62,68,1034,14,11,17
2022,California,Kern,70588,9,8,10,0.4,62680,12,11,14,8803,3,3,4,48062,383769,12.5,1.14,24,24,25,17,9,1,0.59,161113,59,58,60,45292,17,16,18
2022,California,Kings,11212,9,8,11,0.43,9900,12,11,14,1448,3,2,5,6533,56416,11.6,0.76,22,20,24,15,8,1,-0.07,23368,54,51,56,5863,14,12,16
2022,California,Lake,4557,9,8,11,0.44,4019,11,10,13,576,4,3,5,2700,28267,9.6,-0.06,20,18,23,18,3,0,-0.39,17276,68,65,70,4217,17,15,20
2022,California,Lassen,914,5,4,6,-1.79,789,6,5,7,138,3,2,3,676,9461,7.1,-1.04,14,12,17,13,1,1,-1.96,6291,69,66,71,1159,13,11,16
2022,California,Los Angeles,940376,11,11,11,1.29,864634,14,13,14,85306,4,3,4,629811,4921499,12.8,1.25,32,32,33,23,11,2,2.62,1534472,46,46,46,762517,24,23,24
2022,California,Madera,13807,11,10,12,1.23,12305,15,13,16,1676,4,3,5,6649,61738,10.8,0.43,24,22,26,16,9,1,0.38,29270,66,64,68,6815,16,14,18
